title;description;url;image;context;date;company
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://pythonhow.com;2.png;personal;;
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://pythonhow.com;3.png;personal;;
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://pythonhow.com;4.png;personal;;
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://pythonhow.com;5.png;personal;;
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://pythonhow.com;6.png;personal;;
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;7.png;personal;;
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://pythonhow.com;8.png;personal;;
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png;personal;;
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;10.png;personal;;
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://pythonhow.com;11.png;personal;;
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;12.png;personal;;
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png;personal;;
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png;personal;;
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png;personal;;
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://pythonhow.com;16.png;personal;;
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://pythonhow.com;17.png;personal;;
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png;personal;;
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png;personal;;
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png;personal;;
Bachelor of Science: Computer Science;Received from Colorado State University. Minor: Mathematics.;;;education;January 2016 - December 2018.;
Associates of Arts: Psychology;Received from Front Range Community College. ;;;education;June 2011 - December 2013;
Lead Integrations Consultant;Managing Boomi projects including timeline, hours and actionable items. Completing actionable items. Assuming full responsibility and ownership of projects from a Boomi standpoint. ;;;professional_title;August 2022 - Present;Julien Jade, LLC.
Data Analyst, Boomi Consultant;;;;professional_title;June 2019 - January 2022;Blue Horseshoe of Accenture
Cable Bullet;Design, implement, support net new processes for synchronizing sales orders, item fulfillments, invoices, items and inventory between Shopify and Netsuite. Provide documentation and instruction for clients and partners.;;;professional_project;January 2023 - Present;Julien Jade, LLC.
